description,category
Cafe w Nicole n Nicholas,Eating Out
mns,Groceries
Donation to homeless church,Gifts
MnS,Groceries
Vue Cinema,Social
Oseyo,Groceries
mns,Groceries
oseyo,Groceries
Council Tax,Bills
UBS Breakfast,Eating Out
UBS,Eating Out
UBS Breakfast,Eating Out
iCloud,Bills
Katsu Lunch,Eating Out
Kebab,Eating Out
UBS Breakfast,Eating Out
Three uncles,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Office Katsu Market,Eating Out
C&R,Eating Out
Tsujiri,Eating Out
Dog Bowl,Dogs
TKMaxx dog shampoo,Dogs
Lidl,Groceries
Lidl,Groceries
Thames Water,Bills
Octopus Energy,Bills
UBS Breakfast,Eating Out
Tesco,Groceries
Viet Baguette,Eating Out
UBS Breakfast,Eating Out
UBS,Eating Out
wingstop,Eating Out
rent,Bills
Heard Burger w Jeremy,Eating Out
Chili Noodles w Nicole Jinshi near our place,Eating Out
UBS Breakfast,Eating Out
Haircut,Grooming
UBS Breakfast,Eating Out
Golden Gate buns,Eating Out
UBS Breakfast,Eating Out
Mints,Eating Out
Mr Foggs JZ leaving Drinks,Eating Out
Three Uncles,Eating Out
UBS Breakfast,Eating Out
UBS,Eating Out
MnS,Groceries
Tesco,Groceries
Cake for Vanessa,Groceries
Ice Cream,Eating Out
Tesco,Groceries
Wingstop,Eating Out
Lidl,Groceries
Asian Mart,Groceries
Oyster Topup,Transportation
Tesco,Groceries
Groceries,Groceries
Lidl,Groceries
Voxi,Bills
Dad Bag,Gifts
Tian Tian,Groceries
Lidl,Groceries
Boots skincare,Grooming
Five Guys,Eating Out
mns,Groceries
waggel,Dogs
mints ubs,Eating Out
Drinks,Eating Out
UBS Snack,Eating Out
UBS breakfast,Eating Out
UBS Market food,Eating Out
UBS breakfast,Eating Out
roti king,Eating Out
UBer boat,Transportation
Lidl,Groceries
Oyster,Transportation
Climbing gym,Social
Yi Ban,Social
mns,Groceries
Council tax,Bills
Virgin,Bills
Noodle n Beer,Eating Out
UBS Breakfast,Eating Out
Waggel,Dogs
UBS  mints,Eating Out
UBS food market,Eating Out
UBS Breakfast,Eating Out
fish n chips office,Eating Out
Icloud,Bills
Mns,Groceries
Tesco,Groceries
Tkmaxx,Shopping
Lidl,Groceries
Oyster,Transportation
UBS Breakfast,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
Coffee w Eva,Eating Out
MnS,Groceries
Tesco,Groceries
UBS Breakfast,Eating Out
Hoshi,Eating Out
mints office,Eating Out
Mns,Groceries
Mns,Groceries
Mcd,Eating Out
Dogs food,Dogs
Ong Lai kopitiam,Eating Out
Tesco,Groceries
khao Gaeng,Eating Out
Lidl,Groceries
mns,Groceries
UBS Breakfast,Eating Out
Wrap,Eating Out
tesco,Eating Out
UBS Breakfast,Eating Out
ubs food,Eating Out
ubs food,Eating Out
Mcd,Eating Out
Thames Water,Bills
Elec,Bills
Oyster,Transportation
Mns,Groceries
Rent,Bills
Gulmi ,Eating Out
Dexters holding deposit,Bills
Donation Church,Gifts
cnr,Eating Out
Gulmi ,Eating Out
mints,Eating Out
Voxi,Bills
UBS breakfast,Eating Out
Tesco,Groceries
noodles with yx & laasya,Eating Out
mns,Groceries
Oyster,Bills
Tesco,Groceries
Lidl,Groceries
Wifi,Bills
yi ban,Eating Out
mns,Groceries
Tesco,Groceries
UBS Breakfast,Eating Out
mints,Eating Out
ubs lunch,Eating Out
Deworm meds,Dogs
Charlie Bed,Dogs
Lidl,Groceries
CeX - dell monitor (Nicole Paid Half),Shopping
Royal kebab,Eating Out
"New setup - standing desk, monitor stand etc",Shopping
Breakfast UBS,Eating Out
Wasabi,Eating Out
Momo treat aleks,Eating Out
Council,Bills
Water,Bills
Octopus elec,Bills
Tesco Grocerie,Groceries
Tesco Toilet Paper,Toiletries
Lidl Groceries,Groceries
Apple Subscription,Bills
Heinz Tomato Sauce,Groceries
Mercato w ed,Eating Out
Breakfast @ Work,Eating Out
Lidl,Groceries
Tube topup ,Transportation
Topup easysaver card,Groceries
Breakfast @ work,Eating Out
Tian Tian Market,Groceries
Tesco Groceries,Groceries
Popeyes Chicken Amex,Eating Out
Topup easy saver acc,Groceries
Topup Tesco gift card,Groceries
Breakfast @ work,Eating Out
Rent,Bills
Topup easysaver card,Groceries
Thames Water,Bills
Breakfast @ work,Eating Out
Octopus Energy,Bills
"Brucetta & Cake w Nicole, Italian Restaurant near tesco",Eating Out
Breakfast @ work,Eating Out
M&S Cereal,Groceries
Food w Chris & Thomas,Eating Out
Oyster Topup,Transportation
Wingstop,Eating Out
Lidl,Groceries
CD Tesco,Toiletries
Lidl - Baking,Groceries
Snoopy Insurance,Dogs
Snacks for myself to destress,Groceries
Tian Tian Market,Groceries
Coffee w Meng Kiang Seah,Entertainment / Social
Top-up M&S Giftcard,Groceries
Breakfast @ work,Eating Out
Yonder Yearly Membership,Bills
Cos Pants,Shopping
Asian Mart Chinatown,Groceries
Meet Fresh,Eating Out
Lidl Groceries,Groceries
Tube topup ,Transportation
Voxi ,Bills
Udemy - Java,Learning
Wasabi Onigiri,Eating Out
Asahi w Bradley,Eating Out
Old Chang Kee - Robin & Friends,Eating Out
Wingstop - Robin & Friends,Eating Out
Uber Home,Transportation
Lidl - Groceries,Groceries
TooGoodToGo,Eating Out
Plaza Khao Gaeng w Janelle,Eating Out
SSE Heating,Bills
Lidl - Groceries,Groceries
Market Lunch,Eating Out
Eat Tokyo - Celeb Quant Offer,Eating Out
Apple Cloud,Bills
Oyster Topup,Transportation
TooGoodToGo,Eating Out
Topup easysaver card,Groceries
Lidl - Groceries,Groceries
Eat Tokyo w Din,Eating Out
Topup easysaver card,Groceries
Topup easysaver card,Groceries
Topup easysaver card,Groceries
Topup Tesco Giftcard,Groceries
Oyster Topup,Transportation
Plaza Khao Gaeng w Nicole,Eating Out
Topup Tesco Giftcard,Groceries
Thames Water,Bills
Octopus Energy,Bills
photobooth,Entertainment / Social
Topup Tesco Giftcard,Groceries
Barrafina w Nicole,Eating Out
Breakfast @ work,Eating Out
Deliveroo - Popeyes,Eating Out
Waggel Insurance,Dogs
Rent,Bills
Breakfast @ work,Eating Out
Lidl - Groceries,Groceries
golf,Entertainment / Social
fried chicken ,Entertainment / Social
kebab w rice,Entertainment / Social
Topup easysaver card,Groceries
Topup easysaver card,Groceries
Virgin Wifi,Bills
Flight to indonesia ,Travel
Lidl,Groceries
Fries @ golf,Entertainment / Social
wagamama w robin n nicole,Entertainment / Social
Flight Ldn - Vienna,Travel
Flight Budapest - Ldn,Travel
Office Breakfast,Eating Out
Tube topup ,Transportation
Papa Johns,Eating Out
Voxi,Bills
Lidl,Groceries
Snoopy Treats,Dogs
TooGoodToGo,Eating Out
C&R ,Eating Out
Budapest & Vienna Airbnb,Travel
Lidl,Groceries
Churches Shoes,Shopping
Naroon w Caitlin,Entertainment / Social
Lidl,Groceries
Eat Tokyo,Eating Out
Donation to Singer w no hand,Learning
Papa Johns Pizza,Eating Out
Apple Cloud,Bills
Golden Gates Buns,Eating Out
M&S Grapes,Groceries
Breakfast @ work,Eating Out
Oyster Topup,Transportation
Haircut,Toiletries
M&S,Groceries
Snoopy Treats,Dogs
Lidl,Groceries
Ippudo,Entertainment / Social
Uniqlo Socks,Shopping
Market Halls Teh Tarik,Entertainment / Social
Market Halls Pad Thai,Entertainment / Social
Market Halls Indian Food,Entertainment / Social
Groceries Tesco,Groceries
Badminton,Learning
Eat Tokyo,Eating Out
Wasabi,Entertainment / Social
Oyster Topup,Transportation
Lidl,Groceries
M&S,Groceries
Thames Water,Bills
Electricity,Bills
Golden Gate Buns,Eating Out
C&R Dinner,Eating Out
Lidl,Groceries
Makan w SG @ UBS,Entertainment / Social
Lidl,Groceries
Breakfast @ work,Eating Out
Wasabi,Entertainment / Social
Five Guys Milkshake,Entertainment / Social
Rent,Bills
Lidl Groceries,Groceries
Oyster Topup,Transportation
Snoopy Insurance,Dogs
Drinks w UBS,Entertainment / Social
Mexican Lunch Market,Eating Out
Printing for Nicole,Learning
Papa Johns Pizza,Eating Out
Groceries Lidl,Groceries
Groceries Lidl,Groceries
Snoopy Treats & Wok,Dogs
Donation to Church,Gifts
Kangnam Pocha,Entertainment / Social
Palworld Game,Shopping
Anti Histamine,Groceries
M&S Snacks,Groceries
Lidl Groceries,Groceries
Five Guys Milkshake,Entertainment / Social
Breakfast @ work,Eating Out
Wifi,Bills
Breakfast @ work,Eating Out
Snoopy Vet Bills for falling down,Dogs
Oyster Topup,Transportation
Chendol,Entertainment / Social
M&S,Groceries
Ice Cream,Eating Out
Kangnam Pocha,Entertainment / Social
Lidl,Groceries
Golf,Learning
Voxi,Bills
Topup Easy Saver,Groceries
Lidl,Groceries
Breakfast @ work,Eating Out
Papa Johns,Eating Out
Tesco,Groceries
Eat Tokyo,Eating Out
Breakfast @ work,Eating Out
Council Tax,Bills
Park Ice Cream,Eating Out
C&R takeaway,Eating Out
Golden Gate Bread,Eating Out
Tesco,Groceries
Oyster Topup,Transportation
Icloud Subscription,Bills
Hoka Running Shoes,Shopping
Asian Mart,Groceries
Lidl,Groceries
Lidl,Groceries
Laksamania,Entertainment / Social
Breakfast @ work,Eating Out
Yum Bowl - Office Lunch,Eating Out
Breakfast @ work,Eating Out
Salomon Shoes,Shopping
Royal Kebab Dinner w Nicole,Eating Out
Tkmaxx,Shopping
Uniqlo,Shopping
Ramen w Nicole & Nich friends,Entertainment / Social
Sport Direct,Shopping
Arcade Halls w Nicole,Entertainment / Social
Lidl,Groceries
Thames Water,Bills
Electricity,Bills
Oyster Topup,Transportation
Rent,Bills
Flight to Canada Calgary,Travel
Canada E-Visa,Travel
Canada Airbnb,Travel
Canada Airbnb,Travel
Train to Budapest,Travel
Topup M&S Card,Groceries
Canda Car Rental,Travel
Lidl,Groceries
Burger King,Eating Out
Train to Stansted,Travel
Train to Vienna City Centre,Travel
Voxi,Bills
Mcd Vienna,Eating Out
First Day Dinner @ Vienna,Entertainment / Social
Snoopy Insurance,Dogs
Mcd Vienna,Eating Out
Vienna Tube,Transportation
Italian Restaurant Michelin Star Vienna,Entertainment / Social
Vienna Tube,Transportation
Noodle King Vienna,Eating Out
Mcd Vienna,Eating Out
Vienna Tube,Transportation
Vienna Tube,Transportation
Cafe Schwarzenberg - Vienna Coffee,Entertainment / Social
Noodle King Vienna,Eating Out
Vienna Tube,Transportation
Vienna Dinner,Eating Out
Vienna Tube,Transportation
Budapest Tube,Transportation
TG Osteria - Budapest Lunch,Eating Out
Strudel House,Eating Out
Pho Budapest,Eating Out
SG60 Drinks evening,Entertainment / Social
Hungarian Food,Eating Out
Strudel House,Eating Out
Greek Gyros,Eating Out
Greek Gyros,Eating Out
Pho Lunch,Eating Out
Konyha - Hungarian Food,Entertainment / Social
Vaj - Croissant Breakfast Budapest,Entertainment / Social
Greek Gyros,Eating Out
Deliveroo - Popeyes,Eating Out
Tesco Groceries,Groceries
Tian Tian,Groceries
Topup Tesco Giftcard,Groceries
Voxi,Bills
Heating,Bills
Wifi,Bills
Ice Cream Tesco,Groceries
Mints UBS,Toiletries
Council Tax,Bills
Tesco,Groceries
Drinks w Tim,Entertainment / Social
Snoopy Treats,Dogs
Snoopy Treats,Dogs
Shoryu Ramen w Tim,Eating Out
Golden Gate Cake Shop,Entertainment / Social
Oyster Topup,Transportation
Drinks w Tim,Entertainment / Social
Tesco,Entertainment / Social
Tian Tian,Groceries
Market Halls w Tim,Entertainment / Social
Yum Tea Cake for Snoopy Bday,Entertainment / Social
Pizza Deliveroo,Entertainment / Social
Lidl Groceries,Groceries
Icloud Subscription,Bills
Haircut Alice,Toiletries
C&R,Eating Out
Lidl Groceries,Groceries
Eat Tokyo,Eating Out
UBS Breakfast,Eating Out
Tesco,Groceries
Leon @ Heathrow,Eating Out
Canmore Shawarma,Eating Out
Beer,Entertainment / Social
ricola,Groceries
Oyster Topup,Transportation
Tim Hortons,Eating Out
Safeway,Groceries
Safeway,Groceries
Park Entrance fee,Travel
Alberta wing shack,Entertainment / Social
Tim Hortons,Eating Out
Safeway,Groceries
Shorts for hot spring,Shopping
Sticker Jonston Canyon,Shopping
Safeway,Groceries
Banff Hot Spring,Entertainment / Social
Hankki Korean food,Eating Out
Hankki Korean food,Entertainment / Social
SkiBig3 Kayak Rental,Entertainment / Social
Gas,Transportation
Elk Dinner,Eating Out
Banff Entrance Fee,Entertainment / Social
Safeway and hankki food and bingsu,Eating Out
Banff Mcd,Eating Out
Bear Spray Rental,Entertainment / Social
Gas,Transportation
Safeway,Groceries
A&W Canada Airport,Eating Out
Cds Tesco,Groceries
Lidl Groceries,Groceries
Snoopy Treats,Dogs
Water,Bills
Octopus Electricity,Bills
Chicken Donner w Rice,Eating Out
Rent,Bills
Tesco Topup,Groceries
Lidl Groceries,Groceries
M&S,Groceries
Snoopy Insurance,Dogs
Udemy JS Course,Learning
Heytea,Eating Out
UBS Breakfast,Eating Out
Mints,Eating Out
Chicken Donner w Rice,Eating Out
Yum Bowl,Eating Out
Tesco Groceries,Groceries
Fish & Chips,Eating Out
UBS Junior Talent Event,Entertainment / Social
Oyster Topup,Transportation
Shiro Sushi Treat,Entertainment / Social
TKMaxx Vinny Treats,Dogs
Pint w Deeya Henry etc,Entertainment / Social
Lunch w Deeya,Entertainment / Social
Pooch & Mutt Snoopy Food,Dogs
M&S,Groceries
M&S,Groceries
Lidl Groceries,Groceries
Deliveroo,Eating Out
UBS Breakfast,Groceries
Voxi,Bills
Royal Kebab,Eating Out
M&S,Groceries
UBS Breakfast,Groceries
Pint after SG event,Entertainment / Social
Mcd,Eating Out
M&S,Groceries
Tesco Topup,Groceries
Oyster Card,Transportation
Uber to get Charlie,Transportation
Uber to get Charlie,Transportation
Charlie,Dogs
Church for Homeless Food,Gifts
Tesco,Groceries
Charlie's Insurance,Dogs
Tesco,Groceries
M&S Pastries,Eating Out
Pint w UBS Grads,Entertainment / Social
Kangnam Pocha,Eating Out
Council Tax,Bills
Papa John,Eating Out
UBS Breakfast,Eating Out
Oyster,Transportation
Apple Icloud,Bills
Topup Tesco,Groceries
Chicken Doner w Rice,Eating Out
Eurostar,Travel
Brussels Hotel,Travel
Primark Charlie's Blanket,Dogs
Indo Concert Food,Entertainment / Social
McD Wrap,Eating Out
M&S Yogurt,Groceries
Lidl,Groceries
M&S,Groceries
UBS Breakfast,Eating Out
Three Uncles Lunch W Michael,Entertainment / Social
Honest Burgers w Nicole,Eating Out
Charlie's Bowl,Dogs
M&S,Groceries
Lidl,Groceries
Ikea Cabinet ,Shopping
Oyster Topup,Transportation
John Lewis Table Lamps,Shopping
Thames Water,Bills
Octopus Electricity,Bills
M&S,Groceries
Lidl,Groceries
Tesco,Groceries
Lidl,Groceries
Charlie's Vaccination,Dogs
Deliveroo Sam's Chicken,Eating Out
Pint w UBS Charles,Entertainment / Social
UBS Breakfast,Eating Out
Chicken Doner w Rice,Eating Out
Rent,Bills
UBS Breakfast,Eating Out
Lidl,Groceries
Tian Tian Japchae,Groceries
New Pillow John Lewis,Shopping
Train to Milan,Travel
Train to Rome,Travel
Flight Ldn - Milan,Travel
Flight Rome - Ldn,Travel
Airbnb Milan & Venice,Travel
Airbnb Rome,Travel
TkMaxx Pink Moss Shirt,Shopping
Japchae Noodles,Groceries
UBS Breakfast,Eating Out
Uber Ikea,Transportation
Ikea Food,Eating Out
UBS Mints,Eating Out
Lidl,Groceries
Oyster Topup,Transportation
Haircut,Toiletries
Wifi,Bills
Snoopy Insurance,Dogs
Golden Gate Buns,Eating Out
Chipotle dinner w nicole,Entertainment / Social
UBS Breakfast,Eating Out
Tesco,Groceries
Tesco Beer for Arthur's Birthday,Entertainment / Social
Flat Iron w Nafisa & Desiree,Entertainment / Social
Voxi,Bills
M&S,Groceries
Lidl,Groceries
Tesco,Groceries
UBS bfast,Eating Out
M&S,Groceries
UBS bfast,Eating Out
Council Tax,Bills
Gymshark Clothing,Shopping
Oyster Topup,Transportation
Tesco,Groceries
COS Grey Pants,Shopping
Bao,Eating Out
Photo with Nicole & dogs,Entertainment / Social
iCloud subscription,Bills
UBS bfast,Eating Out
Tesco,Groceries
T4 BBT,Entertainment / Social
M&S,Groceries
UBS bfast,Eating Out
Voxi Travel data,Travel
tube belgium,Transportation
DONKI Belgium,Eating Out
Oyster Topup,Transportation
Flixbus,Travel
Diptyque Perfume,Shopping
COS Grey Sweater,Shopping
tube belgium,Transportation
Belgium Waffles,Eating Out
Train to Antwerp,Travel
Dinner in Brugges,Eating Out
tube belgium,Transportation
Stella Breakfast w Nicole in Belgium,Eating Out
Belgium DONKI w Nicole,Eating Out
tube belgium,Transportation
Locker,Travel
Toilet,Travel
Drinks w Nicole Antwerp,Entertainment / Social
Toilet,Travel
Food while waiting for train back to UK,Eating Out
Chocolate @ Eurostar,Eating Out
Water at Eurostar,Eating Out
Thames Water,Bills
Lidl,Groceries
Octopus,Bills
Tesco,Groceries
HeyTea,Eating Out
UBS bfast,Eating Out
Rent,Bills
Charlie Food,Dogs
Tesco,Groceries
M&S,Groceries
Phad Thai,Eating Out
Tesco,Groceries
Tesco,Groceries
M&S,Groceries
Eat Tokyo,Entertainment / Social
Train to Stansted,Transportation
Voxi Travel data,Travel
Train to Milan Central,Travel
First Day Dinner @ Milan,Eating Out
Tube Milan,Travel
Tube Milan,Travel
McD bfast Milan,Eating Out
Train Ticket 24hrs Milan,Travel
Ribot Dinner,Eating Out
water Milan,Eating Out
Milan Sandwiches,Eating Out
water Milan,Eating Out
Singapore Birthday Dinner London,Entertainment / Social
Train to Lake Como,Travel
Milan Tube,Travel
Train to Lake Como,Travel
Ferry Ticket Lake Como,Travel
Lunch Lake Como,Eating Out
Milan Sandwiches,Eating Out
Tube,Travel
Train to mainland Venice,Travel
Paul Breakfast Italy,Eating Out
Train to mainland Venice,Travel
D1 Lunch Venice,Eating Out
United Colours of benetton linen shorts,Shopping
Slippers Italy,Shopping
Ice Cream Venice,Entertainment / Social
Chocolate for Mich & ixi Venice,Entertainment / Social
Dinner Venice,Eating Out
Train to mainland Venice,Travel
Train to mainland Venice,Travel
Ferry Pass Venice,Travel
Lunch Venice,Eating Out
Dinner Venice,Eating Out
McD bfast Venice,Eating Out
Water Venice,Eating Out
Insect bite cream Rome,Travel
Uniqlo Italy,Shopping
Rome Tube,Travel
D1 Rome Lunch,Travel
Vatican Musei Entry fee,Travel
Vatican Crucifixes,Shopping
Dinner Rome ,Eating Out
Ice Cream after Dinner Rome,Eating Out
Lunch Rome,Eating Out
Tube Rome,Travel
Dinner Rome,Eating Out
Rome Tube,Travel
Lunch Rome,Eating Out
Jolibee Rome,Eating Out
Pizza Rome,Eating Out
McD Breakfast,Eating Out
Rome Tube,Travel
Lunch Rome last day,Eating Out
Waggel Dog Insurance,Dogs
Train from stansted,Travel
